Date,Open,High,Low,Close,Volume,Change,5MA,5Disparity,20MA,20Disparity,60MA,60Disparity,120MA,120Disparity,label
2021-10-06,31950,32100,31550,31550,781110,-0.0047318611987381,32050.0,0.984399375975039,32467.5,0.9717409717409716,33057.5,0.95439764047493,32205.0,0.9796615432386276,-0.9285714285714286
2021-10-07,31700,32050,31550,31600,869066,0.0015847860538826,31890.0,0.9909062402006898,32402.5,0.9752333924851476,33042.5,0.956344102292502,32234.166666666668,0.9803262583697422,-0.9285714285714286
2021-10-08,31600,31650,31200,31350,666175,-0.0079113924050633,31640.0,0.990834386852086,32340.0,0.9693877551020408,33029.166666666664,0.9491610949918002,32261.666666666668,0.9717414888670765,-0.9285714285714286
2021-10-12,31200,31200,30500,30500,1098561,-0.0271132376395534,31340.0,0.97319719208679,32232.5,0.9462499030481656,32996.666666666664,0.9243357914940904,32277.5,0.9449306792657424,-0.9285714285714286
2021-10-13,30400,31650,30400,31400,926683,0.0295081967213115,31280.0,1.0038363171355498,32170.0,0.9760646565122784,32968.333333333336,0.9524290986299984,32302.083333333332,0.9720735246694616,-0.9285714285714286
2021-10-14,31550,31600,31150,31200,756696,-0.0063694267515923,31210.0,0.99967958987504,32100.0,0.97196261682243,32939.166666666664,0.9472006476585626,32325.833333333332,0.9651723337887654,-0.9285714285714286
2021-10-15,31200,31500,31200,31300,396253,0.0032051282051281,31150.0,1.0048154093097914,32027.5,0.9772851455780188,32910.833333333336,0.9510546172739472,32345.833333333332,0.9676671389926575,-0.9285714285714286
2021-10-18,31300,31300,30900,31300,591691,0.0,31140.0,1.0051380860629415,31955.0,0.979502425285558,32881.666666666664,0.9518982208931016,32366.666666666668,0.9670442842430484,-0.9285714285714286
2021-10-19,31400,31950,31400,31650,650915,0.011182108626198,31370.0,1.0089257252151738,31905.0,0.9920075223319228,32853.333333333336,0.9633725649350648,32387.5,0.9772288691624856,-0.9285714285714286
2021-10-20,31800,31900,31600,31600,501730,-0.0015797788309637,31410.0,1.006049028971665,31857.5,0.991917130973868,32820.0,0.962827544180378,32405.416666666668,0.9751456160878452,-0.9285714285714286
2021-10-21,31600,32250,31500,31950,841771,0.0110759493670886,31560.0,1.0123574144486691,31830.0,1.003770028275212,32783.333333333336,0.974580579562786,32426.666666666668,0.9853001644736842,-0.9285714285714286
2021-10-22,31900,32000,31700,31750,600033,-0.0062597809076682,31650.0,1.0031595576619274,31790.0,0.9987417426863794,32730.833333333332,0.9700333528528148,32445.833333333332,0.9785540002568384,-0.9285714285714286
2021-10-25,31700,31900,31000,31300,1757961,-0.0141732283464567,31650.0,0.9889415481832544,31730.0,0.9864481563189412,32674.166666666668,0.957943329337652,32467.083333333332,0.9640533360711492,-0.9285714285714286
2021-10-26,31100,31450,31100,31450,913025,0.0047923322683705,31610.0,0.9949383106611832,31680.0,0.992739898989899,32638.333333333332,0.9635908696318236,32487.916666666668,0.9680522245450232,-0.46153846153846156
2021-10-27,31300,31350,31100,31300,505035,-0.0047694753577106,31550.0,0.9920760697305864,31617.5,0.9899580928283388,32605.833333333332,0.9599509290259924,32512.5,0.9627066512879662,-0.5
2021-10-28,31250,31250,30700,30700,975550,-0.0191693290734824,31300.0,0.9808306709265175,31530.0,0.9736758642562638,32554.166666666668,0.9430436452067068,32531.25,0.9437079731027858,-0.3888888888888889
2021-10-29,30650,30700,30100,30500,1102556,-0.006514657980456,31050.0,0.9822866344605476,31435.0,0.9702560839828216,32499.166666666668,0.938485602194928,32542.916666666668,0.9372239222565074,-0.6047619047619047
2021-11-01,30500,31100,30400,30850,653575,0.0114754098360656,30960.0,0.9964470284237726,31347.5,0.9841295159103596,32450.0,0.950693374422188,32555.833333333332,0.9476028361532752,1.0
2021-11-02,31000,31350,30950,31150,513783,0.0097244732576986,30900.0,1.0080906148867317,31305.0,0.9950487142628972,32403.333333333332,0.9613208517642218,32570.833333333332,0.9563771267749775,1.0
2021-11-03,31150,31150,30500,30500,576526,-0.0208667736757623,30740.0,0.992192582953806,31245.0,0.9761561849895984,32352.5,0.9427401282744764,32579.583333333332,0.9361691243237712,1.0
2021-11-04,30700,31000,30550,30700,469982,0.0065573770491802,30740.0,0.9986987638256344,31202.5,0.983895521192212,32305.833333333332,0.950292774782676,32581.25,0.9422597352771916,1.0
2021-11-05,30900,30900,30350,30450,529775,-0.00814332247557,30730.0,0.9908883826879272,31145.0,0.9776850216728208,32256.666666666668,0.9439909062726052,32573.75,0.9348017959246324,1.0
2021-11-08,30450,30750,30250,30600,388429,0.0049261083743843,30680.0,0.997392438070404,31107.5,0.9836856063650246,32208.333333333332,0.95006468305304,32565.833333333332,0.939635098134548,1.0
2021-11-09,30700,30950,30600,30950,449105,0.0114379084967319,30640.0,1.010117493472585,31130.0,0.9942177963379376,32163.333333333332,0.9622758835112448,32565.416666666668,0.9503947183233749,1.0
2021-11-10,30950,31450,30800,31000,690231,0.0016155088852989,30740.0,1.0084580351333767,31110.0,0.9964641594342656,32123.333333333332,0.9650306111860538,32563.333333333332,0.9519909919131948,1.0
2021-11-11,30950,31000,30450,30700,801918,-0.0096774193548386,30740.0,0.9986987638256344,31085.0,0.9876146051150072,32054.166666666668,0.9577538021578058,32550.0,0.9431643625192012,-1.0
2021-11-12,30750,31700,30700,31550,980076,0.0276872964169381,30960.0,1.0190568475452195,31097.5,1.014551008923547,32010.0,0.98562949078413,32545.416666666668,0.9694145360969926,1.0
2021-11-15,31650,31700,31350,31450,435914,-0.0031695721077654,31130.0,1.0102794731769995,31105.0,1.011091464394792,31965.0,0.9838886281870796,32548.333333333332,0.9662553126120128,0.0
2021-11-16,31350,31400,31050,31100,387799,-0.0111287758346582,31160.0,0.9980744544287548,31077.5,1.0007239964604615,31922.5,0.974234474117002,32535.833333333332,0.9558691698896088,0.6153846153846154
2021-11-17,31000,31050,30550,30600,565332,-0.0160771704180063,31080.0,0.9845559845559846,31027.5,0.9862218999274835,31860.833333333332,0.9604268563806136,32517.5,0.9410317521334666,0.3333333333333333
2021-11-18,30750,31000,30600,30800,475281,0.0065359477124182,31100.0,0.990353697749196,30970.0,0.9945108169195996,31820.833333333332,0.9679193400549956,32496.666666666668,0.9477895168735254,0.017241379310344827
2021-11-19,30850,31300,30750,31050,423837,0.0081168831168831,31000.0,1.0016129032258063,30935.0,1.003717472118959,31805.833333333332,0.976236015405979,32475.0,0.9561200923787528,0.16666666666666666
2021-11-22,31050,31200,30850,30950,433176,-0.0032206119162641,30900.0,1.0016181229773462,30917.5,1.0010511846041883,31780.0,0.973882945248584,32451.25,0.9537382997573284,0.3389830508474576
2021-11-23,30850,31050,30800,30850,431257,-0.0032310177705977,30850.0,1.0,30887.5,0.998785916632942,31750.833333333332,0.9716280412587596,32423.333333333332,0.9514752750077106,0.423728813559322
2021-11-24,30850,31150,30800,30900,399143,0.0016207455429497,30910.0,0.9996764801035264,30867.5,1.0010528873410545,31719.166666666668,0.974174395081838,32396.666666666668,0.9538018314641424,-0.3333333333333333
2021-11-25,30850,31150,30700,31050,365852,0.0048543689320388,30960.0,1.002906976744186,30885.0,1.0053423992229238,31690.833333333332,0.9797785900234032,32375.0,0.9590733590733592,0.2
2021-11-26,31100,31500,31050,31150,678903,0.0032206119162641,30980.0,1.0054874112330536,30917.5,1.0075200129376567,31670.0,0.9835806757183454,32353.75,0.9627941119653828,0.352112676056338
2021-11-29,30750,31500,30650,31150,1012271,0.0,31020.0,1.0041908446163763,30932.5,1.0070314394245534,31648.333333333332,0.9842540418136816,32336.666666666668,0.963302752293578,0.08771929824561403
2021-11-30,31150,31300,30000,30300,1783321,-0.0272873194221509,30910.0,0.9802652863151085,30890.0,0.9808999676270638,31606.666666666668,0.9586585108626872,32312.5,0.9377176015473888,0.21621621621621623
2021-12-01,30250,30250,29800,30000,1070189,-0.0099009900990099,30730.0,0.97624471200781,30865.0,0.9719747286570548,31549.166666666668,0.9508967484613962,32282.916666666668,0.9292840640689736,0.75
